0|-0.868001|4.47035e-10|-0.379|-0.04|0.198|-0.545|
0|-0.868001|4.47035e-10|0.861|-0.04|0.198|-0.545|
0.26|-0.868001|4.47035e-10|0.861|-0.04|0.198|-0.545|
0.58|-0.868001|4.47035e-10|0.861|-0.04|0.198|-0.545|
0.8|-0.868001|4.47035e-10|0.861|-0.04|0.198|-0.545|
0.8|-0.868001|0.36|0.861|-0.04|0.198|-0.545|
0.8|-0.868001|0.64|0.861|-0.04|0.198|-0.545|
0.8|-0.868001|0.64|0.861|0.34|0.198|-0.545|
0.8|-0.868001|0.64|0.861|0.66|0.198|-0.545|
0.8|-0.868001|0.64|0.861|0.66|0.538|-0.545|
0.8|-0.868001|0.64|0.861|0.66|0.838|-0.545|
